statecurrent,inmidwest,midwesterner,statebirth,ideology,partyregaff,age,race,votehistory,education,gender,zip,weight,income,householdsize
AR,1,0,AR,Moderate,Republican,40-49,White or Caucasian,Donald Trump,Vocational/Technical School,Female,72719,1.4214166912703874,10732.68341133371,5
AR,1,1,AR,Liberal,Democrat,30-39,White or Caucasian,Joe Biden,Associate's Degree/Some College,Female,72714,0.7962253993017329,108395.21523099393,4
AR,1,0,GA,Liberal,Democrat,30-39,White or Caucasian,Joe Biden,Postgraduate or Higher,Female,72714,0.5998017525974911,69038.950081449,3
AR,0,0,AR,Moderate,Independent/Other,40-49,White or Caucasian,Someone else,Associate's Degree/Some College,Male,72713,0.3197873865100557,36404.60138907656,5
AR,0,1,MI,Moderate,Democrat,70 or more years,White or Caucasian,Joe Biden,College Degree,Male,72713,0.26260924930216606,20482.33286710456,4
AR,1,1,AR,Liberal,Democrat,18-24,White or Caucasian,Joe Biden,Postgraduate or Higher,Female,72712,0.7811663935522967,56751.570750493556,6
AR,0,0,AR,Moderate,Independent/Other,30-39,White or Caucasian,Did not vote,Vocational/Technical School,Male,72712,1.0437915429798263,60926.33401276544,4
AR,0,1,KS,Liberal,Democrat,50-59,Black or African American,Joe Biden,Postgraduate or Higher,Male,72712,3.725187879809436,44477.663999423385,2
AR,0,0,AR,Conservative,Republican,40-49,White or Caucasian,Donald Trump,High School or Less,Male,72704,2.903697838831473,96037.10961295292,2
AR,0,1,MO,Moderate,Independent/Other,18-24,Hispanic or Latino,Did not vote,Associate's Degree/Some College,Female,72704,4.0270463302384085,102726.54808592051,3
AR,0,0,OK,Liberal,Not registered to vote,40-49,White or Caucasian,Did not vote,Associate's Degree/Some College,Male,72701,0.6775060628599725,23012.54892954603,6
AR,0,0,AR,Moderate,Independent/Other,50-59,White or Caucasian,Donald Trump,High School or Less,Female,72687,2.2928299270844943,78542.31380857527,1
AR,1,0,MD,Moderate,Not registered to vote,18-24,White or Caucasian,Did not vote,High School or Less,Female,72658,0.9677603050045165,26411.613791715354,6
AR,1,0,AR,Liberal,Independent/Other,40-49,White or Caucasian,Joe Biden,College Degree,Male,72651,1.3532248017899435,30549.122113734484,1
AR,0,1,WI,Moderate,Independent/Other,50-59,White or Caucasian,Donald Trump,High School or Less,Male,72641,4.0316095953940865,38504.31840401143,3
AR,0,0,AR,Conservative,Independent/Other,30-39,White or Caucasian,Did not vote,High School or Less,Male,72601,1.5526560250038675,69178.11745544896,6
AR,1,1,FL,Moderate,Not registered to vote,30-39,White or Caucasian,Did not vote,High School or Less,Female,72601,0.7430738595862719,57623.176153283566,3
AR,1,0,FL,Moderate,Not registered to vote,30-39,White or Caucasian,Did not vote,High School or Less,Female,72601,0.7430738595862719,117105.05734896287,6
AR,0,0,TX,Liberal,Independent/Other,40-49,White or Caucasian,Donald Trump,High School or Less,Female,72562,1.7814189844618131,47686.0282337293,6
AR,0,0,AR,Conservative,Republican,40-49,White or Caucasian,Donald Trump,Postgraduate or Higher,Female,72550,0.6707563994263545,22507.92504288256,6
AR,0,0,IL,Conservative,Republican,60-69,White or Caucasian,Donald Trump,Associate's Degree/Some College,Female,72542,1.6099390490387362,73706.7298241891,1
AR,0,0,AR,Moderate,Republican,40-49,White or Caucasian,Donald Trump,Associate's Degree/Some College,Male,72521,1.5519920579634214,78131.86234328896,3
AR,0,0,AR,Conservative,Republican,25-29,White or Caucasian,Did not vote,High School or Less,Female,72501,1.025116244349097,10848.718006163836,3
AR,0,0,AR,Conservative,Republican,18-24,White or Caucasian,Donald Trump,High School or Less,Female,72501,2.635833296564715,100510.49828296527,4
AR,0,0,AR,Liberal,Independent/Other,40-49,White or Caucasian,Someone else,High School or Less,Female,72501,0.26604059133679636,75571.10136607662,6
AR,0,0,NY,Conservative,Republican,60-69,White or Caucasian,Donald Trump,College Degree,Male,72501,0.7961660934091486,31907.260094303638,5
AR,0,0,AR,Moderate,Not registered to vote,40-49,White or Caucasian,Did not vote,Associate's Degree/Some College,Female,72472,0.5682937097807609,94134.73722524941,1
AR,0,0,AR,Conservative,Republican,40-49,White or Caucasian,Donald Trump,High School or Less,Male,72472,2.903697838831473,117985.14423891902,2
AR,0,0,AR,Liberal,Democrat,40-49,White or Caucasian,Did not vote,College Degree,Male,72455,0.28374841889548374,66580.2229102701,2
AR,0,0,AR,Conservative,Independent/Other,50-59,White or Caucasian,Donald Trump,College Degree,Male,72450,0.9999068952239621,84527.63420529664,5
AR,0,0,AR,Conservative,Independent/Other,70 or more years,White or Caucasian,Donald Trump,Associate's Degree/Some College,Male,72450,0.5986415756956781,48240.06298556924,5
AR,1,1,AR,Moderate,Independent/Other,18-24,Black or African American,Someone else,Associate's Degree/Some College,Male,72431,1.0959643944069497,38244.43539371714,6
AR,0,0,AR,Moderate,Independent/Other,25-29,White or Caucasian,Did not vote,Associate's Degree/Some College,Female,72417,1.0365078376197199,68414.37472496182,5
AR,0,0,TN,Liberal,Not registered to vote,30-39,White or Caucasian,Joe Biden,Associate's Degree/Some College,Female,72416,1.2345691336051303,71253.11831943691,1
AR,0,0,AR,Moderate,Republican,40-49,White or Caucasian,Donald Trump,Associate's Degree/Some College,Female,72404,1.3018146589672663,39815.04886643961,2
AR,1,1,AR,Moderate,Not registered to vote,25-29,White or Caucasian,Did not vote,Postgraduate or Higher,Female,72401,0.605219959523775,48622.67033196986,2
AR,0,0,AR,Moderate,Democrat,25-29,Asian,Did not vote,Associate's Degree/Some College,Female,72401,0.8066690639455368,74555.93273043633,4
AR,0,1,AR,Liberal,Republican,30-39,Asian,Joe Biden,College Degree,Male,72401,2.204574761715549,78883.74498579651,1
AR,0,0,AR,Moderate,Independent/Other,18-24,Black or African American,Joe Biden,High School or Less,Female,72401,3.0085205434829945,77047.0626396127,6
AR,1,0,LA,Moderate,Not registered to vote,40-49,White or Caucasian,Did not vote,High School or Less,Female,72401,0.6063098972128816,110448.95594241098,1
